Year,House,Senate
1900,76.10,66.63
1901,69.48,64.39
1902,70.49,72.91
1903,84.21,69.57
1904,85.36,75.79
1905,76.59,62.76
1906,75.81,62.83
1907,76.72,61.55
1908,76.82,61.16
1909,72.94,69.22
1910,70.40,53.45
1911,68.34,55.25
1912,60.08,57.28
1913,63.34,68.15
1914,48.74,43.98
1915,46.87,62.77
1916,57.01,43.59
1917,48.21,40.73
1918,39.89,36.37
1919,50.73,56.78
1920,49.00,49.20
1921,56.43,56.20
1922,58.17,68.25
1923,54.45,57.07
1924,51.43,43.86
1925,52.62,43.77
1926,45.19,30.89
1927,38.65,41.68
1928,39.05,36.51
1929,56.19,35.87
1930,52.91,41.13
1931,52.87,52.35
1932,41.31,28.34
1933,56.95,36.51
1934,61.98,43.72
1935,54.86,35.09
1936,47.87,34.35
1937,52.66,47.73
1938,56.48,44.05
1939,64.38,43.67
1940,58.54,42.08
1941,54.01,46.86
1942,29.97,29.43
1943,45.86,38.09
1944,44.31,34.76
1945,52.79,43.53
1946,45.04,40.35
1947,50.54,57.14
1948,50.22,43.07
1949,49.32,46.04
1950,44.95,45.95
1951,47.83,44.87
1952,41.16,49.07
1953,44.04,39.83
1954,40.40,48.38
1955,37.79,36.05
1956,41.80,43.70
1957,41.46,41.99
1958,35.14,37.70
1959,51.36,42.57
1960,40.31,32.41
1961,48.72,43.88
1962,43.74,38.82
1963,51.05,39.70
1964,47.23,27.95
1965,44.31,32.80
1966,41.37,36.52
1967,38.07,29.31
1968,31.68,25.52
1969,27.61,28.20
1970,26.23,26.59
1971,33.11,31.84
1972,27.96,26.61
1973,34.92,36.15
1974,28.87,28.45
1975,39.79,34.75
1976,34.46,31.41
1977,39.66,33.78
1978,38.26,31.31
1979,42.78,35.07
1980,41.12,35.29
1981,39.06,47.56
1982,38.81,40.40
1983,51.25,38.58
1984,46.58,39.16
1985,54.88,45.24
1986,51.29,41.30
1987,57.93,45.05
1988,55.77,43.52
1989,49.30,42.68
1990,52.67,49.16
1991,56.42,50.10
1992,58.94,49.93
1993,64.79,61.37
1994,63.51,54.11
1995,67.95,67.53
1996,58.06,65.03
1997,58.69,61.33
1998,60.79,64.74
1999,57.00,73.46
2000,60.37,64.95
2001,61.73,69.56
2002,64.70,58.96
2003,74.46,78.90
2004,70.68,67.79
2005,71.26,68.85
2006,69.52,65.51
2007,76.82,66.92
2008,82.88,62.48
2009,76.92,74.09
2010,80.78,83.05
