Date,Democratic,Republican
1990-01-28,74.12,55.05
1990-02-04,74.35,55.02
1990-02-11,74.63,55.01
1990-02-18,74.63,55.01
1990-02-25,74.63,55.01
1990-03-04,74.72,55.00
1990-03-11,74.90,54.90
1990-03-18,74.82,54.31
1990-03-25,74.79,54.66
1990-04-01,74.73,55.20
1990-04-08,74.75,55.19
1990-04-15,74.75,55.19
1990-04-22,74.88,55.95
1990-04-29,74.48,55.88
1990-05-06,73.93,56.09
1990-05-13,74.39,55.77
1990-05-20,74.41,55.80
1990-05-27,73.59,55.28
1990-06-03,73.59,55.28
1990-06-10,74.65,53.91
1990-06-17,74.98,53.06
1990-06-24,74.51,53.18
1990-07-01,74.79,52.15
1990-07-08,74.79,52.15
1990-07-15,75.13,52.56
1990-07-22,74.91,52.70
1990-07-29,72.54,51.66
1990-08-05,73.20,51.22
1990-08-12,73.20,51.22
1990-08-19,73.20,51.22
1990-08-26,73.20,51.22
1990-09-02,73.20,51.22
1990-09-09,73.20,51.22
1990-09-16,73.23,51.75
1990-09-23,72.77,52.19
1990-09-30,74.50,52.61
1990-10-07,71.78,53.50
1990-10-14,70.73,53.17
1990-10-21,70.22,54.15
1990-10-28,70.22,53.35
1990-11-04,70.22,53.35
1990-11-11,70.22,53.35
1990-11-18,70.22,53.35
1990-11-25,70.22,53.35
1990-12-02,70.22,53.35
1990-12-09,70.22,53.35
1990-12-16,70.22,53.35
1990-12-23,70.22,53.35
1990-12-30,70.22,53.35
1991-01-06,70.66,54.05
1991-01-13,70.55,54.23
1991-01-20,70.55,54.23
1991-01-27,70.55,54.23
1991-02-03,70.55,54.23
1991-02-10,70.55,54.23
1991-02-17,70.55,54.23
1991-02-24,70.55,54.23
1991-03-03,70.55,54.23
1991-03-10,70.81,54.30
1991-03-17,69.77,55.07
1991-03-24,70.12,54.39
1991-03-31,70.12,54.39
1991-04-07,70.12,54.39
1991-04-14,70.12,54.39
1991-04-21,70.62,53.90
1991-04-28,70.62,53.90
1991-05-05,70.89,54.03
1991-05-12,70.78,53.62
1991-05-19,70.70,53.30
1991-05-26,69.35,54.53
1991-06-02,69.18,54.14
1991-06-09,68.93,55.25
1991-06-16,68.58,54.86
1991-06-23,68.33,54.53
1991-06-30,69.09,53.49
1991-07-07,69.09,53.49
1991-07-14,69.13,52.85
1991-07-21,69.74,53.78
1991-07-28,70.52,52.94
1991-08-04,71.24,53.22
1991-08-11,71.24,53.22
1991-08-18,71.24,53.22
1991-08-25,71.24,53.22
1991-09-01,71.24,53.22
1991-09-08,71.24,53.22
1991-09-15,71.37,53.07
1991-09-22,71.53,53.76
1991-09-29,71.92,54.04
1991-10-06,72.26,53.56
1991-10-13,72.62,54.27
1991-10-20,70.51,56.36
1991-10-27,70.14,55.96
1991-11-03,68.76,57.42
1991-11-10,67.85,57.57
1991-11-17,67.98,56.94
1991-11-24,69.39,56.61
1991-12-01,70.47,57.27
1991-12-08,70.47,57.27
1991-12-15,70.47,57.27
1991-12-22,70.47,57.27
1991-12-29,70.47,57.27
1992-01-05,70.47,57.27
1992-01-12,70.47,57.27
1992-01-19,70.47,57.27
1992-01-26,70.47,57.27
1992-02-02,70.47,57.27
1992-02-09,71.63,59.15
1992-02-16,71.63,59.15
1992-02-23,71.27,59.07
1992-03-01,71.21,60.23
1992-03-08,71.45,60.75
1992-03-15,71.11,60.35
1992-03-22,71.55,60.60
1992-03-29,71.29,60.59
1992-04-05,71.01,61.05
1992-04-12,71.84,61.88
1992-04-19,71.84,61.88
1992-04-26,71.84,61.88
1992-05-03,71.32,61.74
1992-05-10,72.02,62.69
1992-05-17,71.94,62.18
1992-05-24,71.68,62.07
1992-05-31,71.10,61.59
1992-06-07,70.05,62.06
1992-06-14,69.25,63.62
1992-06-21,69.74,62.75
1992-06-28,70.26,62.64
1992-07-05,69.53,61.61
1992-07-12,69.19,62.43
1992-07-19,69.19,62.43
1992-07-26,68.62,61.30
1992-08-02,67.99,61.77
1992-08-09,67.94,62.02
1992-08-16,68.80,61.29
1992-08-23,68.80,61.29
1992-08-30,68.80,61.29
1992-09-06,68.80,61.29
1992-09-13,69.21,60.80
1992-09-20,69.01,60.93
1992-09-27,68.70,60.86
1992-10-04,68.99,59.57
1992-10-11,69.60,58.39
1992-10-18,69.60,58.39
1992-10-25,69.60,58.39
1992-11-01,69.60,58.39
1992-11-08,69.60,58.39
1992-11-15,69.60,58.39
1992-11-22,69.60,58.39
1992-11-29,69.60,58.39
1992-12-06,69.60,58.39
1992-12-13,69.60,58.39
1992-12-20,69.60,58.39
1992-12-27,69.60,58.39
1993-01-03,69.60,58.39
1993-01-10,69.99,59.21
1993-01-17,69.99,59.21
1993-01-24,69.99,59.21
1993-01-31,70.17,59.63
1993-02-07,71.55,61.80
1993-02-14,71.55,61.80
1993-02-21,72.07,61.90
1993-02-28,72.83,62.65
1993-03-07,73.62,62.76
1993-03-14,73.98,62.72
1993-03-21,75.12,63.76
1993-03-28,75.85,63.60
1993-04-04,76.82,66.26
1993-04-11,76.82,66.26
1993-04-18,76.82,66.26
1993-04-25,77.24,65.66
1993-05-02,76.98,66.10
1993-05-09,77.42,66.77
1993-05-16,77.77,67.49
1993-05-23,77.41,68.38
1993-05-30,78.08,68.96
1993-06-06,78.08,68.96
1993-06-13,78.13,69.79
1993-06-20,77.63,68.69
1993-06-27,75.54,65.46
1993-07-04,72.80,65.39
1993-07-11,72.80,65.39
1993-07-18,72.02,65.23
1993-07-25,72.29,66.42
1993-08-01,71.65,67.46
1993-08-08,71.35,68.82
1993-08-15,71.35,68.82
1993-08-22,71.35,68.82
1993-08-29,71.35,68.82
1993-09-05,71.35,68.82
1993-09-12,70.48,68.49
1993-09-19,70.46,69.28
1993-09-26,70.34,66.79
1993-10-03,69.40,66.33
1993-10-10,68.59,66.26
1993-10-17,69.74,65.77
1993-10-24,69.50,63.93
1993-10-31,69.54,64.52
1993-11-07,69.66,64.28
1993-11-14,69.36,64.58
1993-11-21,69.85,65.66
1993-11-28,69.94,65.54
1993-12-05,69.94,65.54
1993-12-12,69.94,65.54
1993-12-19,69.94,65.54
1993-12-26,69.94,65.54
1994-01-02,69.94,65.54
1994-01-09,69.94,65.54
1994-01-16,69.94,65.54
1994-01-23,69.94,65.54
1994-01-30,70.07,65.56
1994-02-06,70.41,65.62
1994-02-13,71.53,66.09
1994-02-20,71.53,66.09
1994-02-27,71.51,66.51
1994-03-06,71.87,66.75
1994-03-13,71.52,67.86
1994-03-20,71.19,68.39
1994-03-27,71.86,68.86
1994-04-03,71.86,68.86
1994-04-10,71.86,68.86
1994-04-17,71.41,69.70
1994-04-24,70.39,71.10
1994-05-01,70.22,71.08
1994-05-08,70.35,71.51
1994-05-15,70.88,70.66
1994-05-22,70.35,70.54
1994-05-29,70.40,71.62
1994-06-05,70.40,71.62
1994-06-12,70.10,71.87
1994-06-19,70.92,71.49
1994-06-26,71.33,70.75
1994-07-03,71.17,70.51
1994-07-10,71.17,70.51
1994-07-17,69.34,71.13
1994-07-24,68.31,71.84
1994-07-31,68.52,72.29
1994-08-07,68.38,71.19
1994-08-14,68.00,71.59
1994-08-21,68.85,71.25
1994-08-28,68.85,71.25
1994-09-04,68.85,71.25
1994-09-11,68.85,71.25
1994-09-18,68.81,70.72
1994-09-25,69.80,70.63
1994-10-02,70.75,70.17
1994-10-09,71.34,67.84
1994-10-16,71.34,67.84
1994-10-23,71.34,67.84
1994-10-30,71.34,67.84
1994-11-06,71.34,67.84
1994-11-13,71.34,67.84
1994-11-20,71.34,67.84
1994-11-27,71.34,67.84
1994-12-04,71.23,67.70
1994-12-11,71.23,67.70
1994-12-18,71.23,67.70
1994-12-25,71.23,67.70
1995-01-01,71.23,67.70
1995-01-08,71.32,68.82
1995-01-15,71.32,68.82
1995-01-22,71.33,69.98
1995-01-29,68.86,73.45
1995-02-05,66.02,76.85
1995-02-12,63.23,78.76
1995-02-19,65.02,80.42
1995-02-26,65.39,82.36
1995-03-05,64.41,82.88
1995-03-12,64.57,83.54
1995-03-19,65.54,82.83
1995-03-26,65.94,82.98
1995-04-02,66.41,82.41
1995-04-09,66.71,82.81
1995-04-16,66.71,82.81
1995-04-23,66.71,82.81
1995-04-30,66.71,82.81
1995-05-07,66.94,82.92
1995-05-14,64.58,82.51
1995-05-21,64.41,82.60
1995-05-28,63.74,82.73
1995-06-04,63.74,82.73
1995-06-11,63.95,82.73
1995-06-18,63.47,82.18
1995-06-25,62.94,81.58
1995-07-02,64.32,81.73
1995-07-09,64.32,81.73
1995-07-16,65.80,80.50
1995-07-23,64.31,76.02
1995-07-30,62.52,75.60
1995-08-06,61.48,74.77
1995-08-13,61.48,74.77
1995-08-20,61.48,74.77
1995-08-27,61.48,74.77
1995-09-03,61.48,74.77
1995-09-10,59.93,74.76
1995-09-17,60.21,75.48
1995-09-24,59.78,75.51
1995-10-01,60.15,75.69
1995-10-08,60.15,75.69
1995-10-15,60.18,75.94
1995-10-22,60.37,75.93
1995-10-29,61.03,76.71
1995-11-05,60.61,77.07
1995-11-12,62.00,78.32
1995-11-19,63.54,79.46
1995-11-26,63.69,79.56
1995-12-03,63.94,78.77
1995-12-10,63.87,79.32
1995-12-17,64.85,80.34
1995-12-24,66.03,81.69
1995-12-31,66.03,81.69
1996-01-07,66.95,82.26
1996-01-14,66.95,82.26
1996-01-21,66.95,82.26
1996-01-28,67.00,82.39
1996-02-04,67.42,82.40
1996-02-11,67.42,82.40
1996-02-18,67.42,82.40
1996-02-25,67.42,82.40
1996-03-03,66.59,80.91
1996-03-10,66.62,81.14
1996-03-17,66.21,81.30
1996-03-24,65.98,79.94
1996-03-31,66.01,80.95
1996-04-07,66.01,80.95
1996-04-14,66.01,80.95
1996-04-21,65.81,81.08
1996-04-28,65.56,81.24
1996-05-05,65.86,81.53
