Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-01-23T12:31:00.000Z",0,0,0,0,0,0
"1990-01-24T14:25:00.000Z",78,87,234,2,0,0
"1990-01-24T16:05:00.000Z",137,32,0,244,0,0
"1990-01-24T17:24:00.000Z",145,25,245,0,0,0
"1990-01-31T12:21:00.000Z",75,94,226,6,0,0
"1990-01-31T14:24:00.000Z",6,166,248,0,0,0
"1990-02-06T14:39:00.000Z",151,17,245,4,0,0
"1990-02-06T14:50:00.000Z",168,0,245,0,0,0
"1990-02-06T17:28:00.000Z",128,41,1,250,0,0
"1990-02-06T17:59:00.000Z",155,14,1,251,0,0
"1990-02-06T18:16:00.000Z",61,108,228,24,0,0
"1990-02-07T14:51:00.000Z",174,0,215,26,0,0
"1990-02-07T15:25:00.000Z",170,0,203,30,0,0
"1990-02-07T16:26:00.000Z",150,21,226,16,0,0
"1990-02-21T14:04:00.000Z",156,0,230,0,0,0
"1990-02-27T16:05:00.000Z",158,4,243,0,0,0
"1990-02-27T16:14:00.000Z",162,0,242,0,0,0
"1990-02-28T14:33:00.000Z",127,38,229,7,0,0
"1990-03-06T12:24:00.000Z",66,95,218,6,0,0
"1990-03-06T14:40:00.000Z",171,0,245,0,0,0
"1990-03-06T14:49:00.000Z",144,26,238,1,0,0
"1990-03-07T14:45:00.000Z",25,147,236,13,0,0
"1990-03-14T14:25:00.000Z",0,0,0,0,0,0
"1990-03-14T16:10:00.000Z",74,96,241,3,0,0
"1990-03-15T11:29:00.000Z",67,93,225,5,0,0
"1990-03-15T14:57:00.000Z",0,0,0,0,0,0
"1990-03-15T15:06:00.000Z",68,96,136,97,0,0
"1990-03-20T12:28:00.000Z",47,115,211,6,0,0
"1990-03-20T14:25:00.000Z",165,0,232,0,0,0
"1990-03-20T14:34:00.000Z",165,0,234,0,0,0
"1990-03-20T14:43:00.000Z",167,0,235,0,0,0
"1990-03-20T14:51:00.000Z",168,0,233,0,0,0
"1990-03-20T14:58:00.000Z",166,0,234,0,0,0
"1990-03-20T15:06:00.000Z",167,0,234,0,0,0
"1990-03-21T14:24:00.000Z",50,118,232,6,0,0
"1990-03-21T16:51:00.000Z",102,70,247,1,0,0
"1990-03-22T12:27:00.000Z",166,0,37,204,0,0
"1990-03-22T13:55:00.000Z",0,167,176,66,0,0
"1990-03-22T14:16:00.000Z",167,0,142,101,0,0
"1990-03-22T15:19:00.000Z",123,42,237,3,0,0
"1990-03-27T14:09:00.000Z",0,0,0,0,0,0
"1990-03-27T16:45:00.000Z",172,0,252,0,0,0
"1990-03-27T16:54:00.000Z",165,8,251,1,0,0
"1990-03-27T17:02:00.000Z",173,0,253,0,0,0
"1990-03-27T17:10:00.000Z",157,15,253,0,0,0
"1990-03-27T17:21:00.000Z",87,85,189,64,0,0
"1990-03-28T12:22:00.000Z",61,103,238,5,0,0
"1990-03-28T15:39:00.000Z",0,0,0,0,0,0
"1990-03-28T17:00:00.000Z",136,38,25,228,0,0
"1990-03-28T17:21:00.000Z",132,42,239,13,0,0
"1990-03-28T19:11:00.000Z",169,0,236,3,0,0
"1990-03-28T19:27:00.000Z",46,123,214,27,0,0
"1990-03-29T11:30:00.000Z",0,170,251,1,0,0
"1990-03-29T11:46:00.000Z",0,171,246,5,0,0
"1990-03-29T15:18:00.000Z",10,163,172,80,0,0
"1990-03-29T16:35:00.000Z",11,160,114,137,0,0
"1990-03-29T18:14:00.000Z",157,14,38,211,0,0
"1990-03-29T18:34:00.000Z",39,132,224,26,0,0
"1990-03-29T18:58:00.000Z",151,16,1,243,0,0
"1990-03-29T19:16:00.000Z",47,119,218,26,0,0
"1990-04-03T15:00:00.000Z",10,163,28,216,0,0
"1990-04-03T16:23:00.000Z",20,152,44,202,0,0
"1990-04-03T16:51:00.000Z",25,148,47,198,0,0
"1990-04-03T17:16:00.000Z",0,172,2,246,0,0
"1990-04-03T18:02:00.000Z",139,34,223,25,0,0
"1990-04-04T13:30:00.000Z",156,18,246,0,0,0
"1990-04-04T13:37:00.000Z",173,0,243,3,0,0
"1990-04-04T16:14:00.000Z",97,78,243,4,0,0
"1990-04-18T14:23:00.000Z",0,156,235,1,0,0
"1990-04-18T16:14:00.000Z",0,0,0,0,0,0
"1990-04-18T16:24:00.000Z",136,25,19,217,0,0
"1990-04-18T17:16:00.000Z",156,4,36,200,0,0
"1990-04-18T17:52:00.000Z",153,3,37,196,0,0
"1990-04-18T18:13:00.000Z",23,134,212,23,0,0
"1990-04-19T13:34:00.000Z",156,1,235,0,0,0
"1990-04-24T15:10:00.000Z",170,0,247,0,0,0
"1990-04-24T15:19:00.000Z",157,10,221,24,0,0
"1990-04-24T15:28:00.000Z",169,0,248,0,0,0
"1990-04-25T15:01:00.000Z",0,0,0,0,0,0
"1990-04-25T15:12:00.000Z",30,132,177,68,0,0
"1990-04-25T16:32:00.000Z",6,158,121,125,0,0
"1990-04-25T16:56:00.000Z",163,0,243,0,0,0
"1990-04-26T14:38:00.000Z",0,0,0,0,0,0
"1990-04-26T14:48:00.000Z",79,89,27,216,0,0
"1990-04-26T15:49:00.000Z",42,119,6,235,0,0
"1990-05-01T13:44:00.000Z",165,0,246,0,0,0
"1990-05-01T13:53:00.000Z",165,0,248,0,0,0
"1990-05-01T16:15:00.000Z",0,174,90,160,0,0
"1990-05-01T17:28:00.000Z",0,174,218,34,0,0
"1990-05-02T13:27:00.000Z",169,0,237,0,0,0
"1990-05-02T15:32:00.000Z",0,0,0,0,0,0
"1990-05-02T15:40:00.000Z",171,0,249,0,0,0
"1990-05-02T17:19:00.000Z",139,32,117,131,0,0
"1990-05-02T17:49:00.000Z",115,57,194,52,0,0
"1990-05-03T11:24:00.000Z",59,101,224,5,0,0
"1990-05-03T12:35:00.000Z",163,1,225,7,0,0
"1990-05-08T12:24:00.000Z",56,100,207,6,0,0
"1990-05-08T14:50:00.000Z",169,0,241,0,0,0
"1990-05-08T14:58:00.000Z",169,0,239,0,0,0
"1990-05-09T14:22:00.000Z",64,102,234,6,0,0
"1990-05-09T15:37:00.000Z",0,167,246,0,0,0
"1990-05-09T16:18:00.000Z",166,0,245,0,0,0
"1990-05-09T17:53:00.000Z",84,83,238,10,0,0
"1990-05-09T19:22:00.000Z",18,146,233,5,0,0
"1990-05-10T12:36:00.000Z",47,123,212,34,0,0
"1990-05-10T13:07:00.000Z",129,39,26,225,0,0
"1990-05-10T13:25:00.000Z",39,133,198,54,0,0
"1990-05-15T15:04:00.000Z",162,0,229,2,0,0
"1990-05-16T10:22:00.000Z",56,108,211,5,0,0
"1990-05-16T11:44:00.000Z",171,0,237,0,0,0
"1990-05-16T13:32:00.000Z",156,14,248,0,0,0
"1990-05-17T10:23:00.000Z",60,99,225,4,0,0
"1990-05-17T12:43:00.000Z",7,160,244,2,0,0
"1990-05-17T13:01:00.000Z",14,154,223,18,0,0
"1990-05-17T15:54:00.000Z",0,0,0,0,0,0
"1990-05-17T16:02:00.000Z",153,0,248,0,0,0
"1990-05-17T17:23:00.000Z",119,39,68,174,0,0
"1990-05-17T18:48:00.000Z",120,31,79,156,0,0
"1990-05-22T11:31:00.000Z",87,78,23,212,0,0
"1990-05-22T12:37:00.000Z",116,54,32,212,0,0
"1990-05-22T14:12:00.000Z",146,24,46,203,0,0
"1990-05-22T14:53:00.000Z",135,37,8,243,0,0
"1990-05-22T15:00:00.000Z",155,17,248,3,0,0
"1990-05-22T15:25:00.000Z",169,0,246,0,0,0
"1990-05-22T16:10:00.000Z",66,103,239,5,0,0
"1990-05-22T19:24:00.000Z",152,18,23,225,0,0
"1990-05-22T20:58:00.000Z",31,135,219,28,0,0
"1990-05-22T21:20:00.000Z",16,150,155,94,0,0
"1990-05-23T11:41:00.000Z",94,75,218,31,0,0
"1990-05-23T11:59:00.000Z",98,72,219,33,0,0
"1990-05-23T14:39:00.000Z",75,95,95,158,0,0
"1990-05-23T16:17:00.000Z",43,126,231,20,0,0
"1990-05-23T17:10:00.000Z",61,106,178,74,0,0
"1990-05-23T18:42:00.000Z",170,0,246,0,0,0
"1990-05-23T20:13:00.000Z",166,4,245,1,0,0
"1990-05-23T21:20:00.000Z",154,15,251,0,0,0
"1990-05-23T21:48:00.000Z",154,16,247,5,0,0
"1990-05-24T11:52:00.000Z",105,64,203,44,0,0
"1990-05-24T13:05:00.000Z",32,130,214,30,0,0
"1990-05-24T13:58:00.000Z",50,116,234,7,0,0
"1990-05-24T14:50:00.000Z",6,162,27,214,0,0
"1990-05-24T16:42:00.000Z",156,8,121,118,0,0
"1990-05-24T17:21:00.000Z",28,134,203,31,0,0
"1990-05-24T18:55:00.000Z",43,119,187,47,0,0
"1990-05-24T19:54:00.000Z",0,152,208,11,0,0
"1990-05-24T21:08:00.000Z",1,148,160,60,0,0
"1990-06-06T10:23:00.000Z",64,98,208,6,0,0
"1990-06-06T13:07:00.000Z",107,63,10,228,0,0
"1990-06-06T14:10:00.000Z",165,5,225,19,0,0
"1990-06-06T14:42:00.000Z",147,25,205,37,0,0
"1990-06-06T15:17:00.000Z",164,7,229,8,0,0
"1990-06-06T15:50:00.000Z",170,0,239,0,0,0
"1990-06-06T17:21:00.000Z",115,58,21,223,0,0
"1990-06-06T18:48:00.000Z",44,127,3,238,0,0
"1990-06-06T19:15:00.000Z",125,41,223,4,0,0
"1990-06-06T19:55:00.000Z",73,93,5,222,0,0
"1990-06-06T20:23:00.000Z",165,0,223,2,0,0
"1990-06-06T20:58:00.000Z",85,82,5,222,0,0
"1990-06-06T22:43:00.000Z",133,36,10,216,0,0
"1990-06-06T22:50:00.000Z",87,82,225,4,0,0
"1990-06-07T10:23:00.000Z",61,101,222,5,0,0
"1990-06-07T12:47:00.000Z",58,116,236,7,0,0
"1990-06-12T16:40:00.000Z",90,84,244,3,0,0
"1990-06-13T11:10:00.000Z",61,109,247,0,0,0
"1990-06-13T12:27:00.000Z",30,140,220,27,0,0
"1990-06-13T15:32:00.000Z",70,103,242,10,0,0
"1990-06-13T15:50:00.000Z",171,1,251,0,0,0
"1990-06-13T16:11:00.000Z",159,14,249,0,0,0
"1990-06-14T14:12:00.000Z",75,93,43,204,0,0
"1990-06-14T14:41:00.000Z",107,64,209,33,0,0
"1990-06-14T16:38:00.000Z",124,38,214,17,0,0
"1990-06-19T12:27:00.000Z",54,110,226,5,0,0
"1990-06-19T14:19:00.000Z",14,155,246,2,0,0
"1990-06-19T14:38:00.000Z",32,134,244,2,0,0
"1990-06-19T16:58:00.000Z",32,139,110,139,0,0
"1990-06-19T17:24:00.000Z",166,6,247,1,0,0
"1990-06-19T18:41:00.000Z",98,70,42,207,0,0
