Date,House,Senate
1990-01-28,57.91,50.37
1990-02-04,58.08,50.37
1990-02-11,58.31,50.83
1990-02-18,58.31,50.83
1990-02-25,58.31,50.65
1990-03-04,58.12,50.68
1990-03-11,58.22,49.91
1990-03-18,57.99,49.91
1990-03-25,57.95,49.42
1990-04-01,58.32,49.01
1990-04-08,57.48,48.69
1990-04-15,57.48,48.69
1990-04-22,58.12,48.69
1990-04-29,57.75,48.37
1990-05-06,57.46,49.02
1990-05-13,57.82,50.33
1990-05-20,58.06,50.43
1990-05-27,57.79,50.61
1990-06-03,57.79,50.61
1990-06-10,57.13,50.83
1990-06-17,56.66,51.09
1990-06-24,56.64,51.38
1990-07-01,55.50,51.16
1990-07-08,55.50,51.16
1990-07-15,55.59,50.70
1990-07-22,55.74,51.00
1990-07-29,53.93,49.47
1990-08-05,54.21,51.13
1990-08-12,54.21,51.13
1990-08-19,54.21,51.13
1990-08-26,54.21,51.13
1990-09-02,54.21,51.13
1990-09-09,54.21,51.13
1990-09-16,54.36,50.87
1990-09-23,54.52,50.80
1990-09-30,55.08,50.80
1990-10-07,54.39,50.80
1990-10-14,53.13,50.61
1990-10-21,53.67,49.35
1990-10-28,52.55,49.09
1990-11-04,52.55,49.09
1990-11-11,52.55,49.09
1990-11-18,52.55,49.09
1990-11-25,52.55,49.09
1990-12-02,52.55,49.09
1990-12-09,52.55,49.09
1990-12-16,52.55,49.09
1990-12-23,52.55,49.09
1990-12-30,52.55,49.09
1991-01-06,53.26,49.09
1991-01-13,53.48,49.38
1991-01-20,53.48,49.38
1991-01-27,53.48,49.38
1991-02-03,53.48,49.38
1991-02-10,53.48,49.38
1991-02-17,53.48,49.38
1991-02-24,53.48,48.93
1991-03-03,53.48,49.31
1991-03-10,53.54,49.07
1991-03-17,53.56,48.98
1991-03-24,53.16,49.35
1991-03-31,53.16,49.35
1991-04-07,53.16,49.35
1991-04-14,53.16,49.35
1991-04-21,53.37,48.91
1991-04-28,53.37,48.39
1991-05-05,53.65,48.39
1991-05-12,53.61,48.54
1991-05-19,53.67,48.90
1991-05-26,53.72,51.86
1991-06-02,53.42,51.86
1991-06-09,54.45,51.72
1991-06-16,54.31,51.14
1991-06-23,53.62,50.25
1991-06-30,53.24,49.95
1991-07-07,53.24,49.95
1991-07-14,53.10,50.30
1991-07-21,54.21,50.41
1991-07-28,53.73,50.44
1991-08-04,53.91,49.99
1991-08-11,53.91,49.99
1991-08-18,53.91,49.99
1991-08-25,53.91,49.99
1991-09-01,53.91,49.99
1991-09-08,53.91,49.99
1991-09-15,53.94,49.88
1991-09-22,54.15,49.89
1991-09-29,54.75,50.78
1991-10-06,55.01,51.35
1991-10-13,55.57,51.40
1991-10-20,55.82,51.45
1991-10-27,55.08,51.58
1991-11-03,55.60,51.00
1991-11-10,54.84,50.87
1991-11-17,54.78,50.28
1991-11-24,54.69,49.39
1991-12-01,55.70,49.30
1991-12-08,55.70,49.30
1991-12-15,55.70,49.30
1991-12-22,55.70,49.30
1991-12-29,55.70,49.30
1992-01-05,55.70,49.30
1992-01-12,55.70,49.30
1992-01-19,55.70,49.30
1992-01-26,55.70,49.35
1992-02-02,55.70,49.33
1992-02-09,57.57,49.22
1992-02-16,57.57,49.22
1992-02-23,57.39,48.73
1992-03-01,58.21,49.14
1992-03-08,58.31,49.14
1992-03-15,57.70,50.27
1992-03-22,58.12,50.75
1992-03-29,57.94,50.84
1992-04-05,58.13,50.63
1992-04-12,58.97,50.69
1992-04-19,58.97,50.69
1992-04-26,58.97,50.69
1992-05-03,58.67,50.82
1992-05-10,59.84,51.31
1992-05-17,59.78,52.03
1992-05-24,59.82,53.45
1992-05-31,59.43,53.45
1992-06-07,59.20,53.18
1992-06-14,59.80,53.08
1992-06-21,59.53,53.26
1992-06-28,59.65,52.84
1992-07-05,58.01,52.42
1992-07-12,58.44,52.42
1992-07-19,58.44,52.42
1992-07-26,57.84,52.52
1992-08-02,57.82,51.43
1992-08-09,57.90,51.11
1992-08-16,58.02,50.59
1992-08-23,58.02,50.59
1992-08-30,58.02,50.59
1992-09-06,58.02,50.59
1992-09-13,57.87,50.09
1992-09-20,57.96,49.88
1992-09-27,58.31,49.65
1992-10-04,57.43,48.81
1992-10-11,56.57,48.47
