Date,R_YEA,R_NAY,D_YEA,D_NAY,I_YEA,I_NAY
"1990-01-25T02:31:00.000Z",8,37,54,0,0,0
"1990-01-30T05:02:00.000Z",44,0,54,0,0,0
"1990-01-31T05:30:00.000Z",41,2,54,0,0,0
"1990-02-06T11:59:00.000Z",44,0,55,0,0,0
"1990-02-06T02:16:00.000Z",45,0,55,0,0,0
"1990-02-06T05:25:00.000Z",35,10,0,54,0,0
"1990-02-06T06:16:00.000Z",7,37,53,0,0,0
"1990-02-06T06:42:00.000Z",40,4,0,53,0,0
"1990-02-07T11:33:00.000Z",3,42,48,7,0,0
"1990-02-07T03:01:00.000Z",37,8,55,0,0,0
"1990-02-08T02:15:00.000Z",43,0,53,0,0,0
"1990-02-08T03:06:00.000Z",11,32,8,45,0,0
"1990-02-08T03:28:00.000Z",39,4,53,0,0,0
"1990-02-20T03:16:00.000Z",43,0,51,0,0,0
"1990-02-20T04:33:00.000Z",42,0,52,0,0,0
"1990-02-22T01:46:00.000Z",26,18,23,31,0,0
"1990-02-27T04:57:00.000Z",25,20,23,31,0,0
"1990-02-27T07:07:00.000Z",44,1,47,2,0,0
"1990-02-27T07:29:00.000Z",6,39,48,2,0,0
"1990-02-28T01:28:00.000Z",13,31,52,1,0,0
"1990-02-28T04:39:00.000Z",25,19,54,0,0,0
"1990-02-28T04:59:00.000Z",37,7,11,43,0,0
"1990-03-01T12:50:00.000Z",39,6,8,44,0,0
"1990-03-01T01:45:00.000Z",43,1,54,0,0,0
"1990-03-01T02:55:00.000Z",5,39,53,1,0,0
"1990-03-01T06:33:00.000Z",27,16,52,2,0,0
"1990-03-01T08:01:00.000Z",25,18,53,1,0,0
"1990-03-01T08:22:00.000Z",34,9,48,6,0,0
"1990-03-06T05:17:00.000Z",43,0,54,0,0,0
"1990-03-07T04:45:00.000Z",24,20,12,41,0,0
"1990-03-07T10:34:00.000Z",25,19,28,24,0,0
"1990-03-08T03:26:00.000Z",32,12,49,4,0,0
"1990-03-08T07:41:00.000Z",31,12,49,4,0,0
"1990-03-08T09:33:00.000Z",35,9,30,24,0,0
"1990-03-20T07:21:00.000Z",25,19,27,27,0,0
"1990-03-21T10:04:00.000Z",44,0,54,0,0,0
"1990-03-21T03:01:00.000Z",29,15,24,31,0,0
"1990-03-21T05:28:00.000Z",38,6,54,1,0,0
"1990-03-21T07:21:00.000Z",27,15,9,44,0,0
"1990-03-22T06:55:00.000Z",18,27,34,20,0,0
"1990-03-22T08:14:00.000Z",41,3,50,2,0,0
"1990-03-22T10:09:00.000Z",41,0,52,0,0,0
"1990-03-27T09:30:00.000Z",11,34,36,16,0,0
"1990-03-27T02:39:00.000Z",35,10,12,40,0,0
"1990-03-28T12:15:00.000Z",28,17,43,9,0,0
"1990-03-28T03:43:00.000Z",10,35,30,22,0,0
"1990-03-29T03:09:00.000Z",11,34,38,16,0,0
"1990-03-29T07:24:00.000Z",17,28,13,41,0,0
"1990-04-03T11:03:00.000Z",21,22,43,11,0,0
"1990-04-03T11:46:00.000Z",17,26,40,14,0,0
"1990-04-03T12:35:00.000Z",17,25,48,6,0,0
"1990-04-03T03:08:00.000Z",29,14,53,1,0,0
"1990-04-03T08:02:00.000Z",37,8,12,43,0,0
"1990-04-03T08:35:00.000Z",3,42,30,25,0,0
"1990-04-03T09:02:00.000Z",39,6,50,5,0,0
"1990-04-04T05:12:00.000Z",45,0,17,37,0,0
"1990-04-05T02:13:00.000Z",42,0,54,0,0,0
"1990-04-19T07:17:00.000Z",41,3,49,0,0,0
"1990-04-24T03:00:00.000Z",28,17,53,0,0,0
"1990-04-24T04:37:00.000Z",35,10,33,20,0,0
"1990-04-24T07:20:00.000Z",19,24,44,9,0,0
"1990-04-24T07:55:00.000Z",23,18,39,13,0,0
"1990-04-24T08:24:00.000Z",41,0,51,0,0,0
"1990-04-26T05:57:00.000Z",43,2,8,46,0,0
"1990-04-26T10:25:00.000Z",39,2,23,28,0,0
"1990-04-27T09:31:00.000Z",44,0,52,0,0,0
"1990-04-27T11:10:00.000Z",44,0,52,0,0,0
"1990-04-27T11:50:00.000Z",34,10,11,41,0,0
"1990-04-27T01:30:00.000Z",12,32,42,10,0,0
"1990-04-27T01:58:00.000Z",44,0,52,0,0,0
"1990-04-27T04:05:00.000Z",7,30,20,30,0,0
"1990-04-30T08:44:00.000Z",37,6,15,37,0,0
"1990-04-30T09:08:00.000Z",36,8,3,49,0,0
"1990-04-30T09:37:00.000Z",5,40,43,10,0,0
"1990-05-01T04:58:00.000Z",42,3,31,21,0,0
"1990-05-01T07:02:00.000Z",17,28,53,0,0,0
"1990-05-03T04:02:00.000Z",14,30,53,0,0,0
"1990-05-03T05:56:00.000Z",13,29,53,0,0,0
"1990-05-03T06:35:00.000Z",7,35,52,0,0,0
"1990-05-08T12:01:00.000Z",11,32,53,0,0,0
"1990-05-08T12:28:00.000Z",3,40,48,6,0,0
"1990-05-08T12:44:00.000Z",7,36,54,0,0,0
"1990-05-08T03:40:00.000Z",12,30,54,0,0,0
"1990-05-09T03:06:00.000Z",9,35,54,0,0,0
"1990-05-09T04:04:00.000Z",9,35,53,1,0,0
"1990-05-09T05:47:00.000Z",9,35,54,0,0,0
"1990-05-10T03:17:00.000Z",4,39,54,0,0,0
"1990-05-10T03:39:00.000Z",43,0,54,0,0,0
